Alewife,164,116
Davis,187,116
Porter Square,220,121
Harvard Square,241,142
Central Square,260,160
Kendall/MIT,280,181
Charles/MGH,300,201
Park Street,315,215
Downtown Crossing,334,235
South Station,357,257
Broadway,362,284
Andrew,362,305
JFK/UMass,362,326
Savin Hill,349,341
Fields Corner,334,360
Shawmut,335,375
Ashmont,335,392
Cedar Grove,336,404
Butler,325,420
Milton,309,420
Central Avenue,293,421
Valley Road,279,421
Capen Street,263,421
Mattapan,247,422
North Quincy,410,414
Wollaston,430,433
Quincy Center,449,453
Quincy Adams,468,469
Braintree,474,515
Oak Grove,336,49
Malden Center,336,68
Wellington,334,86
Sullivan Square,335,109
Community College,335,131
North Station,338,159
Haymarket,352,180
State,354,215
Downtown Crossing,334,235
Chinatown,317,251
New England Medical Center,305,266
Back Bay,294,275
Massachusetts Avenue,284,283
Ruggles,276,294
Roxbury Crossing,267,303
Jackson Square,256,313
Stony Brook,246,323
Green Street,238,333
Forest Hills,227,344
Lechmere,304,133
Science Park,324,151
North Station,334,160
Haymarket,348,179
Government Center,336,196
Park Street,315,215
Boylston,300,230
Arlington,286,236
Copley,271,236
Hynes Convention Center,254,236
Kenmore,241,235
Blandford Street,233,226
Boston University East,227,222
Boston University Central,223,218
Boston University West,219,214
St. Paul Street (1),216,210
Pleasant Street,210,206
Babcock Street,204,205
Packards Corner,198,203
Harvard Avenue,191,204
Griggs Street/Long Avenue,185,205
Allston Street,180,205
Warren Street,174,208
Washington Street,169,211
Sutherland Street,164,215
Chiswick Road,160,219
Chestnut Hill Avenue,158,223
South Street,152,226
Boston College,119,207
St. Marys Street,218,235
Hawes Street,209,235
Kent Street,204,235
St. Paul Street (2),197,235
Coolidge Corner,187,235
Summit Avenue,183,235
Brandon Hall,180,235
Fairbanks,176,235
Washington Square,168,236
Tappan Street,163,236
Dean Road,161,235
Englewood Avenue,160,235
Cleveland Circle,148,236
Fenway,217,245
Longwood,205,258
Brookline Village,196,270
Brookline Hills,170,269
Beaconsfield,155,256
Reservoir,143,241
Chestnut Hill,126,240
Newton Center,115,240
Newton Highlands,102,242
Eliot,88,241
Waban,74,241
Woodland,63,242
Riverside,43,241
Prudential,255,263
Symphony,251,268
Northeastern University,246,273
Museum of Fine Arts,239,279
Longwood Medical Area,235,284
Brigham Circle,231,288
Fenwood Street,228,288
Mission Park,225,293
Riverway,227,296
Back of the Hill,225,301
Heath Street,226,314
Wonderland,507,59
Revere Beach,492,79
Beachmont,474,94
Suffolk Downs,459,107
Orient Heights,448,121
Wood Island,433,137
Airport,417,151
Maverick,403,166
Aquarium,372,198
State,354,216
Government Center,335,197
Bowdoin,319,181
